title,date,content,link
“ไอซ์ อภิษฎา” บอกเพศลูกในท้อง ฟุ้งสามีตั้งชื่อรอไว้แล้ว,20/09/2565,ไนน์เอ็นเตอร์เทน 20 ก.ย. –กลับจากทริปพักผ่อนต่างประเทศกับสามี ก็ลุยทำงานต่อทันที สำหรับว่าที่คุณแม่ “ไอซ์ อภิษฎา เครือคงคา” ที่เผลอแป๊บเดียวอายุครรภ์ 5 เดือนกว่าแล้วล่าสุด “ไอซ์” มาทำหน้าที่ดำเนินรายการที่ทำอยู่ตามปกติ เพื่อนพิธีกรและแขกในรายการต่างทายว่าลูกในท้องของไอซ์เป็น “ผู้ชาย” แต่งานนี้พลิกล็อก เพราะว่าที่คุณแม่เฉลยว่าเป็นผู้หญิง แถมยังเล่าอีกว่าสามีชาวต่างชาติ ได้ตั้งชื่อลูกสาวไว้แล้ว.อ่านเพิ่มเติม ►https://nineentertain.mcot.net/news-update-6468546FacebookFacebookXTwitterLINELineดูข่าวเพิ่มเติมPhet Phunnapha,https://tna.mcot.net/entertainment-1021594
“ใหม่” สาดซีนหวานอวยพรวันเกิด “เต๋อ” ฝ่ายชายบอกรักที่สุดออกสื่อ,19/09/2565,ไนน์เอ็นเตอร์เทน 19 ก.ย. –แม้นางเอกสาว “ใหม่ ดาวิกา” จะซุ่มทำเซอร์ไพรส์ด้วยการมอบนาฬิกาข้อมือแบรนด์หรู 2 เรือน เป็นของขวัญวันเกิดล่วงหน้า 2 ปี ให้หวานใจอย่างพระเอกหนุ่ม “เต๋อ ฉันทวิชช์” ไปเรียบร้อยแล้วแต่พอถึงวันเกิดของลุงเต๋อจริง ๆ (18 ก.ย.2565) นุ้งลิงใหม่ก็ไม่พลาดที่อวดรูปคู่ฟีลมุ้งมิ้งพร้อมแคปชันสุดสวีตอวยพรวันเกิดลุงเต๋อ หวานจนมดไต่ไอจีเลยทีเดียวอ่านเพิ่มเติม ►https://nineentertain.mcot.net/top-story-6468515FacebookFacebookXTwitterLINELineดูข่าวเพิ่มเติมPhet Phunnaphaเต๋อ ฉันทวิชช์ใหม่ ดาวิกาข่าวที่เกี่ยวข้อง“ใหม่” เล่าโมเมนต์ฉลองรัก 6 ปี “เต๋อ” ฟุ้งอยากให้พูดหวานบ่อย ๆสุดปัง “ใหม่ ดาวิกา” ได้ขึ้นบิลบอร์ดย่านไทม์สแควร์ที่นิวยอร์ก ในฐานะศิลปิน“ใหม่ ดาวิกา” เฉลยแล้ว เหตุผลทำไมต้องผอมจนเห็นกระดูก“ใหม่” โพสต์หมดใจ ไม่เกี่ยว “เต๋อ” จ่อเพิ่มน้ำหนักตามที่ชาวเน็ตแนะโดนบูลลี่หุ่นไม่หยุด “ใหม่” ขอวิธีรับมือคอมเมนต์บั่นทอนจิตใจ,https://tna.mcot.net/entertainment-1020807
“ญาญ่า” ลงภาพคู่ “ณเดชน์” ดินเนอร์ฉลองครบ 11 ปี จากคู่จิ้นสู่คู่จริง,18/09/2565,ไนน์เอ็นเตอร์เทน 18 ก.ย.-หลังนางเอกสาว “ญาญ่า อุรัสยา” เคยให้สัมภาษณ์ผ่านสื่อว่าอยู่ในโหมด “พร้อมแต่ง” รอแค่เพียงแฟนหนุ่ม “ณเดชน์ คูกิมิยะ” มาขอ งานนี้แฟนๆ หัวใจฟูอีกรอบ หวานใจพี่แบร์ “น้องญ่า” โพสต์รูปที่ทั้งคู่ดินเนอร์ด้วยกัน โดยญาญ่ามาชุดเดรสสั้นหวานซ่อนเปรี้ยว เซ็กซี่เล็กๆ ส่วนแฟนหนุ่มมาด้วยเชิ้ตแขนสีน้ำตาลดูภูมิฐานลงในอินสตาแกรมส่วนตัวเป็นภาพดินเนอร์ฉลองครบรอบ 11 ปีคบหาดูใจกันมา เมื่อวันที่ 16 ก.ย. ที่ร้านอาหาร Villa Frantzen สไตล์โมเดิร์นนอร์ดิก แถวยานนาวา งานนี้เหล่าแฟนคลับร่วมแสดงความยินดี ………อ่านข่าวเต็มคลิก >https://nineentertain.mcot.net/news-update-6468272FacebookFacebookXTwitterLINELineดูข่าวเพิ่มเติมNewMediaครบรอบ11ปีญาญ่าญาญ่า อุรัสยาณเดชน์ คูกิมิยะดินเนอร์หวานใจพี่แบร์ข่าวที่เกี่ยวข้อง“ณเดชน์” เสิร์ฟโมเมนต์หวาน จุ๊บแก้ม “ญาญ่า” ฉลองครบ 1 ปี ขอแต่งงานหวานฉ่ำ “ญาญ่า” ยกเค้กเซอร์ไพรส์วันเกิดว่าที่สามี“ณเดชน์-ญาญ่า” เตรียมจัดวิวาห์ 3 ที่ เผยใส่ซองงานแต่ง “หมาก-คิม” 100“ญาญ่า” ลั่นพร้อมแต่ง “ณเดชน์” ปีหน้า“ญาญ่า-ไอซ์ซึ” คว้านำหญิง-นำชาย สุพรรณหงส์ครั้งที่ 31,https://tna.mcot.net/entertainment-1020171
“โบว์” จัดวันเดย์ทริปฉลองวันเกิด “อาเล็ก” พร้อมเปย์ของขวัญสุดพิเศษ,17/09/2565,ไนน์เอ็นเตอร์เทน 17 ก.ย. –เดินหน้าสาดความหวานสไตล์คนคลั่งรักให้แฟนคลับฟินแบบจุก ๆ สำหรับคู่พระเอกหนุ่ม “อาเล็ก ธีรเดช” และนางเอกสาว “โบว์ เมลดา”โดยเมื่อวันที่ 15 ก.ย.2565 เป็นวันคล้ายวันเกิดอายุครบ 33 ปี ของหนุ่มอาเล็ก สาวโบว์ที่ถึงแม้จะไม่ได้เบิร์ธเดย์แฟนหนุ่มเป็นคนแรก เลยจัดวันเดย์ทริปไปฉลองกันสองต่อสอง พร้อมทำเซอร์ไพรส์หวาน มอบของขวัญสุดพิเศษให้แฟนหนุ่ม ทำเอาเจ้าของวันเกิดเขินแก้มปริ ส่วนคนให้ของขวัญก็ยิ้มด้วยความปริ่มใจ.อ่านเพิ่มเติม ►https://nineentertain.mcot.net/top-story-6467916FacebookFacebookXTwitterLINELineดูข่าวเพิ่มเติมPhet Phunnaphaอาเล็ก ธีรเดชโบว์ เมลดาข่าวที่เกี่ยวข้อง“โบว์” งง! โดนดราม่าหึงอาหาร“อาเล็ก” รับชอบอ้อน “โบว์” แต่กลัวแฟนเบื่อ ลั่นอยากรับงานคู่บ้าง ไม่อัปค่าตัว“อาเล็ก” เขินหนัก โดนคุณแม่สาวโบว์ แซวชอบว่าที่ลูกเขย“อาเล็ก” รับทำอาหารให้ “โบว์” บ่อย ปลื้มถูกแฟนเซอร์ไพรส์วันเกิดบนเครื่องบิน“โบว์ เมลดา” โผล่คอมเมนต์ “อาเล็ก” โชว์แซ่บไม่ถามกันสักคำ,https://tna.mcot.net/entertainment-1019491
“ก้อง ปิยะ” เผยได้กราบลา “หม่อมน้อย” ก่อนจากกันชั่วนิรันดร์ ยกเป็นครูผู้ทุ่มเทให้วงการภาพยนตร์,16/09/2565,ไนน์เอ็นเตอร์เทน 16 ก.ย. –หนึ่งในลูกศิษย์ของ “หม่อมน้อย” ม.ล.พันธุ์เทวนพเทวกุล อย่างพิธีกรและผู้จัดละครมากฝีมือ “ก้อง ปิยะ” เปิดใจกับทีมข่าวไนน์เอ็นเตอร์เทน หลังทราบข่าวการจากไปของ “หม่อมน้อย”“ก้อง” เผยว่าเป็นลูกศิษย์ของหม่อมน้อยมานาน รู้สึกเสียใจที่ต้องสูญเสียครูที่เคารพเร็วเกินไป ส่วนตัวอยากให้หม่อมน้อยได้อยู่สร้างผลงานที่ดีมีคุณภาพ ที่ผ่านมาหม่อมจะคอยสอนและแนะนำสิ่งดี ๆ ให้เสมอซึ่งตนนำมาปรับใช้ในการแสดงตลอด ในทุกเรื่องที่ได้มีโอกาสเล่น หม่อมน้อยจะคอยหาคาแรกเตอร์ใหม่ ๆ คอยบอกอินเนอร์ ความคิดและรูปแบบการเล่นให้กับตนเสมอ ทำให้ได้ศึกษาสิ่งใหม่ตลอดเวลาไม่ได้เล่นออกมาเป็น “ก้อง ปิยะ”.อ่านเพิ่มเติม ►https://nineentertain.mcot.net/top-story-6467863FacebookFacebookXTwitterLINELineดูข่าวเพิ่มเติมPhet Phunnaphaก้อง ปิยะหม่อมน้อยข่าวที่เกี่ยวข้องลูกศิษย์รวมตัวทำบุญครบรอบ 1 ปี “หม่อมน้อย”ลูกศิษย์นำถ้วยรางวัลเกียรติยศ สาขาภาพยนตร์แห่งปี วางหน้ารูป “หม่อมน้อย”ลูกศิษย์ร่วมส่งครั้งสุดท้าย นำอัฐิ “หม่อมน้อย” ลอยอังคารที่ปากน้ำ“แพนเค้ก” กราบลา “หม่อมน้อย” ขอบคุณทุกโอกาส จะนำทุกคำสอนมาใช้อย่างดีที่สุดเปิดประโยคแรก “หม่อมน้อย” บอกกับนักเรียนการแสดงก่อนถ่ายทอดวิชา,https://tna.mcot.net/entertainment-1019122
“โดม-เมทัล” โชว์ซีนจุมพิตหวานกลางทริปอเมริกา,15/09/2565,ไนน์เอ็นเตอร์เทน 15 ก.ย.- แพ็กกระเป๋าบินไปเที่ยวพักผ่อนและเติมความสวีตแบบสองต่อสอง ไกลถึงประเทศสหรัฐอเมริกา นอกจากจะลงรูปความสวยงามของบ้านเมืองและสถานที่ท่องเที่ยวต่าง ๆ แล้ว ทริปนี้หนุ่มหล่อขั้นเทพ “โดม ปกรณ์ ลัม” และภรรยาสาว “เมทัล สุขขาว” ก็ไม่พลาดที่จะเสิร์ฟโมเมนต์หวาน ๆ ให้แฟน ๆ ฟินตามแบบจุก ๆแต่ที่ฮือฮาสุดเห็นจะเป็นซีนที่โดมและเมทัลยืนถ่ายรูปคู่กันในฉากหลังย้อนแสงสะท้อนให้เห็นเงาของทั้งคู่ และในระหว่างที่กำลังถ่ายรูปกันอยู่นั้นโดมและเมทัลได้โน้มตัวเข้ามาจุมพิตกันและกัน ความหวานแผ่ซ่านไปทั่วอเมริกาเลยทีเดียวอ่านเพิ่มเติม ►https://nineentertain.mcot.net/top-story-6467345FacebookFacebookXTwitterLINELineดูข่าวเพิ่มเติมPhet Phunnaphaเมทัล สุขขาวโดม ปกรณ์ ลัมข่าวที่เกี่ยวข้อง“โดม” อวยพรวันเกิด “เมทัล” ขอให้สุขภาพแข็งแรง ปีหน้ามีลูกด้วยกันนะ“โดม” ว่ายังไง “เมทัล” นุ่งบิกินีอวดบั้นท้ายริมทะเล“โดม” บ่นคิดถึงผ่านโซเชียล หลัง “เมทัล” หนีเที่ยว 3 วันยังไงกันนะ “เมทัล” โพสต์มือกุมท้อง พร้อมแคปชันชวนสงสัย?“โดม” เปิดใจ หลังถูกเพจปลอมอ้างเป็น “เมทัล” หลอกลูกเพจให้โอนเงิน,https://tna.mcot.net/entertainment-1018430
ผู้บริหารช่อง 3 ยื่นหนังสือร้องขอความเป็นธรรมให้ “กระทิง”,14/09/2565,ไนน์เอ็นเตอร์เทน 14 ก.ย. -กรณีแชร์ลูกโซ่ Forex 3D ที่ทำนางเอกชื่อดังอย่าง “พิ้งกี้ สาวิกา” นอนคุก รวมถึงยังมีชื่อของ “ดีเจแมน พัฒนพล” กับภรรยา “ใบเตย สุธีวัน” เข้ามาเอี่ยวเพิ่มและยังอยู่ในการตรวจสอบเพิ่มเติม กระทั่งช่วงดึกเมื่อคืนนี้ (13 ก.ย.65) เพจรวบรวมผู้โดนโกงจาก Forex 3D ออกมาแฉเพิ่ม มีชื่อ “กระทิง ขุนณรงค์ ประเทศรัตน์” พระเอกดาวรุ่งวิกพระราม 4 เป็นพ่อข่าย แถมมีลูกข่ายเกือบ 60 คนอีกวันนี้ ที่กระทรวงยุติธรรม ผู้บริหาร บมจ.บีอีซีเวิลด์ ได้มายื่นหนังสือขอความเป็นธรรม และแสดงความบริสุทธิ์ใจ ซึ่งกระทิงพร้อมร่วมมือกับเจ้าหน้าที่ และจากการคุยกับกระทิงเบื้องต้น ยืนยันไม่มีส่วนเกี่ยวข้อง ส่วนดาราคนอื่นที่มีชื่อ คือบอล กัมมัญญ์ กลมแก้ว ยังไม่ได้คุย.อ่านเพิ่มเติม ►https://nineentertain.mcot.net/news-update-6467084FacebookFacebookXTwitterLINELineดูข่าวเพิ่มเติมPhet PhunnaphaForex 3Dกระทิง ขุนณรงค์ข่าวที่เกี่ยวข้องCourt Grants Bail to “Bai Toey” in Forex-3D Ponzi Scheme Case“ดีเจเพชรจ้า” เข้าพบดีเอสไอในฐานะพยานคดี Forex 3D ยันบริสุทธิ์ 100%“ป๋อง พิมพ์แข” โพสต์ภาพเก่า วันแม่ปีนี้ลูกชายไม่ได้กราบเท้าแม่เหมือนทุกปี“ฟิล์ม รัฐภูมิ” ให้ปากคำดีเอสไอ คดี Forex 3Dชวดประกันคดี Forex 3D “ใบเตย” นอนคุกต่อ,https://tna.mcot.net/entertainment-1017721
“แดน” ขอ “แพทตี้” แต่งงาน หลังคบ 13 ปี คนสนิทยันเรื่องจริง!,13/09/2565,ไนน์เอ็นเตอร์เทน 13 ก.ย. – เซอร์ไพรส์อีกคู่แล้ว สำหรับคู่รักคนดังนักร้องหนุ่ม “แดน วรเวช ดานุวงศ์” ที่ขอแฟนสาว “แพทตี้ อังศุมาลิน สิรภัทรศักดิ์เมธา” แต่งงานเป็นที่เรียบร้อย หลังคบหาดูใจมานานกว่า 13 ปี ที่วัดป่าภูทับเบิก จ.เพชรบูรณ์ทีมข่าวไนน์เอ็นเตอร์เทนติดต่อไปยังคนใกล้ชิดของแพทตี้ทันที และได้รับการเปิดเผยสั้น ๆ ว่า “แพทตี้ถูกแดนขอแต่งงานจริงมาสักพักแล้ว.อ่านเพิ่มเติม ►https://nineentertain.mcot.net/news-update-6466775FacebookFacebookXTwitterLINELineดูข่าวเพิ่มเติมPhet Phunnaphaขอแต่งงานแดน วรเวชแพทตี้ อังศุมาลินข่าวที่เกี่ยวข้องคอนเฟิร์ม! “ณัย” ขอ “แต้ว” แต่งงาน‘แมท ภีรนีย์’ ถูกแฟนหนุ่มเซอร์ไพรส์ขอแต่งงานว่าที่คุณแม่แพทตี้ โชว์ท้องเบบี๋ฝาแฝด แห่ชมคนท้องอะไรสวยขนาดนี้ว่าที่คุณแม่ “แพทตี้” โชว์ท้องลูกแฝด 4 เดือน ความสวยเกินต้าน!“แดน” โพสต์ภาพกอดว่าที่คุณแม่ วาเลนไทน์ปีนี้กอด 1 ได้ถึง 3,https://tna.mcot.net/entertainment-1016918
“ญาญ่า” วอนอย่ากดดัน “ณเดชน์” เรื่องแต่ง ลั่นต้องได้ช่อดอกไม้ “หมาก-คิม”,11/09/2565,ไนน์เอ็นเตอร์เทน 11 ก.ย. –นางเอกสาวขวัญใจพี่แบร์ “ญาญ่า อุรัสยา” วอนอย่ากดดันแฟนหนุ่ม “ณเดชน์ คูกิมิยะ” หลังตนประกาศความพร้อมวิวาห์ผ่านรายการโทรทัศน์ เจ้าตัวโล่งอกโชคดีที่วันนั้นไม่มีพิธีกรฝีปากกล้าอย่าง “หนุ่ม กรรชัย” ไม่อย่างงั้นคงถูกขยี้กว่านี้ญาญ่ายอมรับว่าเรื่องแต่งงานเป็นความฝันของตน แต่คู่จิ้น เอ้ย! คู่จริง NY ต่างไม่กดดันกันและกัน ซึ่งก็ได้โทรไปบอกพี่ณเดชน์ว่าพูดไปในรายการแบบนี้ เขาก็หัวเราะใส่ เชื่อยังไม่ถึงเวลาคู่ตนเพราะยังไงต้องผ่านงานแต่งเพื่อนซี้ MK “หมาก ปริญ – คิมเบอร์ลี่” ไปก่อน แถมประกาศลั่น! ช่อดอกไม้งานแต่งสาวคิมต้องเป็นของตน และพร้อมผลักทุกคนที่คิดจะแย่ง มั่นใจต้องได้ช่อดอกไม้เจ้าสาวมาอยู่ในมืออ่านเพิ่มเติม ►https://nineentertain.mcot.net/news-update-6466115FacebookFacebookXTwitterLINELineดูข่าวเพิ่มเติมPhet Phunnaphaช่อดอกไม้งานแต่งญาญ่า อุรัสยาณเดชน์ คูกิมิยะข่าวที่เกี่ยวข้อง“มาริโอ้” สารภาพให้ “จันจิ” หยุดรับช่อดอกไม้งานแต่ง รับเคยคุยเรื่องแต่งหวานฉ่ำ “ญาญ่า” ยกเค้กเซอร์ไพรส์วันเกิดว่าที่สามี“ณเดชน์-ญาญ่า” เตรียมจัดวิวาห์ 3 ที่ เผยใส่ซองงานแต่ง “หมาก-คิม” 100“ญาญ่า” ลั่นพร้อมแต่ง “ณเดชน์” ปีหน้า“ณเดชน์” ดีใจ “หมาก” แฮปปี้ปาร์ตี้สละโสด แพลนวิวาห์ “ญาญ่า” ยังไม่ลงตัว,https://tna.mcot.net/entertainment-1015396
“วี วิโอเลต” โชว์หน้าสด ระบายความรู้สึกเหนื่อยแบบตะโกน โดนใจผู้หญิงทุกคน,10/09/2565,ไนน์เอ็นเตอร์เทน 10 ก.ย. – เป็นอีกหนึ่งสาวฮอตที่งานรุมอย่างต่อเนื่อง สำหรับนักร้องสาวมากความสามารถ “วี วิโอเล็ต” ไม่ว่าจะเป็นงานทัวร์คอนเสิร์ตร้องเพลง ถ่ายแบบ โฆษณา รวมถึงงานอีเวนต์ต่าง ๆ ที่มีเข้ามาไม่ขาดสาย เป็นเหตุให้สาววีต้องทำงานเยอะจนร่างแทบพัง ไม่มีเวลาพักผ่อน ไม่มีเวลาได้ดูแลตัวเอง ไม่ได้เจอเพื่อนฝูง ไม่ได้เจอหวานใจอย่าง “เก้า จิรายุ”แต่ถึงจะโดนงานรุม ก็ยังต้องดูแลตัวเองให้สวยเป๊ะอยู่เสมอ ไม่เว้นแม้แต่วันที่มีวันนั้นของเดือน แค่รับมือกับอารมณ์ตัวเองก็เหนื่อยแล้ว ก็ยังต้องเหนื่อยกับการทำตัวให้สวยอีกด้วย ทำเอาเจ้าตัวเป็นท้อก่อนจะปรี๊ดแตกเบา ๆ เลยโพสต์ภาพโชว์หน้าสดไร้เมคอัพ พร้อมเขียนข้อความระบายความอัดอั้นในใจ ซึ่งก็โดนใจผู้หญิงทั้งประเทศเลยทีเดียว.อ่านเพิ่มเติม ►https://nineentertain.mcot.net/top-story-6466008FacebookFacebookXTwitterLINELineดูข่าวเพิ่มเติมPhet Phunnaphaวี วิโอเลตหน้าสดข่าวที่เกี่ยวข้อง“วี-วิโอเลต” ไม่ทน ร้อง ปอท.สืบหามือดีตัดต่อภาพอนาจาร“วี” แฮปปี้มี “เก้า” คอยปลอบโยนรับฟัง ช่วยคลายกังวล“วี-เก้า” เติมความหวานที่ญี่ปุ่น เป็นท้อทริปนี้รูปดี ๆ ไม่น่าจะมีเยอะ!“เก้า จิรายุ” เลือกรูปจากใจ อวยพรวันเกิด “วี วิโอเลต” ดีงามจนแฟนสาวถามกลับสาวงามใช้ “หน้าสด” ลงประกวดชิงมงกุฎนางงามอังกฤษ,https://tna.mcot.net/entertainment-1015056
