title,date,content,link
“ทรัมป์” ชะลอเก็บภาษียานยนต์ผลิตในแคนาดาและเม็กซิโก,06/03/2568,"วอชิงตัน 6 มี.ค.- รัฐบาลสหรัฐชะลอการเก็บภาษีนำเข้ายานยนต์จากแคนาดาและเม็กซิโกออกไปอีก 1 เดือน หลังมีเสียงเรียกร้องจากค่ายรถยนต์ยักษ์ใหญ่นางแคโรไลน์ ลีวิตต์ โฆษกทำเนียบขาวแถลงเมื่อวานนี้ตามเวลาสหรัฐ หลังจากสหรัฐเริ่มใช้มาตรการเก็บภาษีร้อยละ 25 กับสินค้านำเข้าจากแคนาดาและเม็กซิโกเมื่อวันที่ 4 มีนาคมว่า รัฐบาลได้หารือกับผู้บริหารค่ายรถยนต์ยักษ์ใหญ่ทั้ง 3 รายของสหรัฐ ได้แก่ เจเนอรัลมอเตอร์, ฟอร์ด และสเตลแลนทิส ที่ขอให้ระงับการเก็บภาษีร้อยละ 25 กับรถยนต์นำเข้าจากแคนาดาและเม็กซิโกที่ปฏิบัติตามกฎแหล่งกำเนิดสินค้าตามข้อตกลงสหรัฐ-เม็กซิโก – แคนาดา (USMCA) ปี 2563 โดยอ้างว่าจะเป็นประโยชน์ต่อผู้ผลิตรถยนต์ของสหรัฐ รวมทั้งผู้ผลิตรถยนต์ต่างชาติรายอื่นๆ ที่ปฏิบัติตามหลักเกณฑ์ รัฐบาลจึงตัดสินใจชะลอการเก็บภาษีนำเข้ายานยนต์ออกไปอีก 1 เดือน ซึ่งจะตรงกับช่วงที่ภาษีตอบโต้จะมีผลบังคับใช้วันที่ 2 เมษายนต่อข้อถามว่า ประธานาธิบดีทรัมป์คาดหวังว่าบริษัทยานยนต์จะสามารถย้ายฐานการผลิตกลับมาสหรัฐได้ภายใน 1 เดือนเช่นนั้นหรือ โฆษกตอบว่า ประธานาธิบดีได้บอกกับผู้บริหารบริษัทยานยนต์แล้วว่า ควรเริ่มลงทุนและย้านฐานการผลิตกลับมายังสหรัฐที่ไม่ต้องเสียภาษีศุลกากร.-816(814).-สำนักข่าวไทยFacebookFacebookXTwitterLINELineดูข่าวเพิ่มเติมWatchareeชะลอภาษียานยนต์สหรัฐเม็กซิโกแคนาดาข่าวที่เกี่ยวข้องประเทศคู่ค้าตอบโต้กำแพงภาษีสหรัฐสำรวจสินค้าเกษตรสหรัฐที่จีนจะขึ้นภาษีตอบโต้จีนตอบโต้มาตรการภาษีของสหรัฐเผยจีนเล็งเล่นงานสินค้าเกษตรสหรัฐตอบโต้เรื่องขึ้นภาษี“ทรัมป์” สั่งสอบสวนเรื่องขึ้นภาษีไม้แปรรูป",https://tna.mcot.net/world-1498003
อิสราเอลต้องการรับแรงงานไทยกลับไปทำงาน ยืนยันสถานการณ์ปลอดภัย,05/03/2568,"กรุงเทพฯ 5 มี.ค. –รัฐมนตรีกระทรวงแรงงานอิสราเอล ชื่นชมแรงงานไทยมีฝีมือ ขยัน นิสัยดี ขณะนี้อิสราเอลกำลังต้องการรับแรงงานชาวไทยจำนวนมากนายโยอาฟ เบน ซูร์ รัฐมนตรีว่าการกระทรวงแรงงานของอิสราเอล แถลงข่าวระหว่างเดินทางเยือนประเทศไทยอย่างเป็นทางการ 2-6 มีนาคม 2568 เผยถึงวัตถุประสงค์การเยือนไทยครั้งนี้ว่า มาเพื่อกระชับความสัมพันธ์ระหว่างประเทศ เพื่อเป็นการตอบแทนที่รัฐมนตรีว่าการกระทรวงแรงงาน เคยไปเยือนอิสราเอลเมื่อปีที่แล้ว โดยเมื่อวานนี้ได้เข้าพบหารือกับนายพิพัฒน์ รัชกิจประการ และแสดงความประสงค์ของอิสราเอล ที่ต้องการเปิดรับแรงงานไทยกลับเข้าไปทำงานในอิสราเอล เนื่องจากขณะนี้กำลังขาดแคลนแรงงานจำนวนมาก หลังจากที่บรรดาแรงงานต่างชาติต้องอพยพกลับประเทศ เพราะเหตุกลุ่มติดอาวุธบุกโจมตีพื้นที่ทางใต้ของอิสราเอล เมื่อปี 2566รัฐมนตรีแรงงานอิสราเอล เผยว่า ยอดแรงงานโดยรวมที่อิสราเอลต้องการ คือ 300,000 คน แต่แรงงานไทยเป็นกลุ่มที่นายจ้างอิสราเอลต้องการร่วมงานด้วยมากที่สุด เพราะขยัน มีความเป็นมิตร และมีทักษะฝีมือ โดยตั้งเป้าจะรับแรงงานไทย 200,000 คน ทั้งในภาคการเกษตร ก่อสร้าง ธุรกิจดูแลผู้สูงวัย และภาคบริการ เช่น โรงแรม ร้านอาหาร สำหรับโควตาปีนี้ ต้องการรับแรงงานไทย 20,000 คน พร้อมกับยืนยันว่า ปัจจุบันสถานการณ์ในอิสราเอลปลอดภัยมากขึ้น นับตั้งแต่อิสราเอลกับกลุ่มติดอาวุธในปาเลสไตน์ทำข้อตกลงหยุดยิงระหว่างกัน นอกจากนี้ ยังวางมาตรการรักษาความปลอดภัยในประเทศเข้มงวดขึ้น เช่น ส่งกลับแรงงานปาเลสไตน์ที่เคยมีในประเทศทั้งหมดราว 150,000 คน สั่งห้ามชาวปาเลสไตน์เดินทางเข้าประเทศเด็ดขาด รวมทั้งสร้างที่หลบภัยสำหรับแรงงานต่างชาติ หากเกิดเหตุฉุกเฉิน จัดฝึกอบรมเพื่อการรักษาตัวรอดยามภัยมา และดูแลให้การจ้างงานคนต่างชาติอยู่เฉพาะในพื้นที่ภาคเหนือและภาคกลาง ซึ่งห่างจากชายแดนปาเลสไตน์เท่านั้น.-810-สำนักข่าวไทยFacebookFacebookXTwitterLINELineดูข่าวเพิ่มเติมAreewanอิสราเอลแรงงานไทยข่าวที่เกี่ยวข้อง“อนุทิน” เผยพบ รมต.แรงงานอิสราเอล เป็นไปด้วยดีอิสราเอลได้ผู้บัญชาการกองทัพคนใหม่ผู้กำกับสารคดียอดเยี่ยมที่คว้าออสการ์ วอนยุติสงครามกาซาอิสราเอลปิดกั้นความช่วยเหลือทั้งหมดไม่ให้เข้ากาซาฮามาสคืนร่างตัวประกันอิสราเอล",https://tna.mcot.net/world-1497747
“โดนัลด์ ทรัมป์” พลิกขั้วเปลี่ยนข้างการเมืองโลก,04/03/2568,สหรัฐ 4 มี.ค. –เมื่อวันศุกร์ที่แล้วเกิดเหตุการณ์ช็อกโลกที่นายโดนัลด์ ทรัมป์ ประธานาธิบดีสหรัฐ ได้ปะทะคารมกับผู้นำยูเครนอย่างดุเดือด ประณามว่าไม่สำนึกบุญคุณ.-สำนักข่าวไทยFacebookFacebookXTwitterLINELineดูข่าวเพิ่มเติมNujareeปะทะคารมผู้นำยูเครนโดนัลด์ ทรัมป์ข่าวที่เกี่ยวข้อง“ทรัมป์” ขู่ฮามาสให้ปล่อยตัวประกันทันทีจับประเด็น “ทรัมป์” แถลงต่อที่ประชุมร่วมรัฐสภาเดโมแครตแต่ง “ชมพู” ประท้วง “ทรัมป์”“ทรัมป์” ถูกขัดจังหวะขณะแถลงต่อที่ประชุมร่วมรัฐสภาสำรวจสินค้าเกษตรสหรัฐที่จีนจะขึ้นภาษีตอบโต้,https://tna.mcot.net/world-1497225
สื่อจีนโหมโรง “ประชุมสองสภา” ของจีน,03/03/2568,"ปักกิ่ง 3 มี.ค. – สื่อทางการจีนให้ข้อมูลเกี่ยวกับการประชุมสองสภา (Two Sessions) ที่จะเริ่มขึ้นในวันที่ 4 มีนาคม และวันที่ 5 มีนาคมสำนักข่าวซินหัวของทางการจีนรายงานว่า ช่วงต้นเดือนมีนาคมเป็นสัญญาณการเริ่มต้นฤดูทางการเมืองของ “การประชุมสองสภา” เป็นการประชุมประจำปีของสภาผู้แทนประชาชนแห่งชาติหรือเอ็นพีซี (NPC) ซึ่งเป็นสภานิติบัญญัติระดับสูงสุด และการประชุมประจำปีของคณะกรรมการแห่งชาติประจำสภาที่ปรึกษาทางการเมืองแห่งประชาชนจีนหรือซีพีพีซีซี (CPPCC) ซึ่งเป็นหน่วยงานที่ปรึกษาทางการเมืองระดับสูงสุดของจีนทั้งสองสภามีวาระดำรงตำแหน่ง 5 ปี และจัดการประชุมเต็มคณะทุกปี NPC ชุดที่ 14 มีสมาชิกเกือบ 3,000 คน ส่วน CPPCC มีสมาชิกมากกว่า 2,000 คนNPC เป็นหน่วยงานรัฐที่มีอำนาจสูงสุด นอกจากทำหน้าที่ในฐานะสภานิติบัญญัติระดับสูงสุดแล้ว ยังมีอำนาจเลือกตั้งคณะผู้นำประเทศ รวมถึงอนุมัติงบประมาณรัฐบาล แผนการพัฒนาระดับชาติ และอื่น ๆCPPCC เป็นสถาบันสำคัญของความร่วมมือระหว่างพรรคการเมืองที่นำโดยพรรคคอมมิวนิสต์จีน (CPC) และการปรึกษาหารือทางการเมือง จัดเป็นหน่วยงานที่ปรึกษาเฉพาะทางในระบอบประชาธิปไตยที่ประชาชนมีส่วนร่วมทั้งกระบวนการของจีน โดยสมาชิกสภาฯ จะให้คำแนะนำเกี่ยวกับนโยบายและประเด็นสำคัญระดับชาติ ทั้งการพัฒนาเศรษฐกิจ การเมือง วัฒนธรรม สังคม และนิเวศวิทยาการประชุมประจำปีของทั้งสองสภามักจัดขึ้นคู่กันในช่วงเวลาเดียวกัน จึงเป็นที่มาของการเรียกว่า “การประชุมสองสภา” โดยปีนี้ การประชุม NPC เริ่มต้นวันที่ 5 มีนาคม ส่วนการประชุม CPPCC เริ่มต้นวันที่ 4 มีนาคมประเด็นสำคัญของการประชุมสองสภา ได้แก่ เป้าหมายการเติบโตประจำปีของผลิตภัณฑ์มวลรวมภายในประเทศหรือจีดีพี (GDP) ซึ่งจะมีการเผยแพร่ตัวเลขผ่านรายงานการปฏิบัติงานของรัฐบาล ณ การเปิดประชุม NPC รวมถึงตัวชี้วัดทางเศรษฐกิจที่สำคัญอื่น ๆ เช่น อัตราส่วนการขาดดุลต่อจีดีพีและเป้าหมายเงินเฟ้อ และพันธกิจการพัฒนาของทั้งปีการประชุมสองสภายังจะตรวจสอบทบทวนแผนการพัฒนาเศรษฐกิจและสังคมระดับชาติของปี 2568  รวมถึงงบประมาณรัฐบาล ซึ่งจะฉายภาพอันชัดเจนของการจัดลำดับความสำคัญทางนโยบาย เป้าหมายการพัฒนาต่างๆ และยุทธศาสตร์ทางการคลังของจีนนอกจากนั้นการประชุมประจำปีของ NPC จะออกหรือแก้ไขกฎหมาย โดยเฉพาะกฎหมายที่มีความสำคัญอย่างยิ่ง ได้แก่ รัฐธรรมนูญ ประมวลกฎหมายแพ่ง กฎหมายกำกับดูแล และกฎหมายการลงทุนจากต่างประเทศ โดยปีนี้สมาชิกสภาฯ จะพิจารณาแก้ไขร่างกฎหมายว่าด้วย สมาชิก NPC และสภาผู้แทนประชาชนท้องถิ่นทุกระดับ นับเป็นการแก้ไขครั้งที่ 4 ตั้งแต่ประกาศใช้ในปี 2535สมาชิก NPC จะทบทวนรายการปฏิบัติงานของคณะกรรมการถาวรประจำสภาฯ และประกาศแผนงานนิติบัญญัติประจำปี ขณะที่หัวหน้าศาลประชาชนสูงสุดและอัยการประชาชนสูงสุดจะนำเสนอรายงานการปฏิบัติงานแยกกัน เพื่อชี้แจงรายละเอียดผลการปฏิบัติงานของหน่วยงานตุลาการและอัยการขณะเดียวกันบรรดาเจ้าหน้าที่รัฐบาลอาวุโสจะพบปะสื่อมวลชนนอกรอบการประชุมสองสภา ซึ่งคาดว่าการแถลงข่าวของรัฐมนตรีว่าการกระทรวงการต่างประเทศจะได้รับความสนใจอย่างมาก เนื่องจากสะท้อนจุดยืนและนโยบายการต่างประเทศของจีน.-814.-สำนักข่าวไทยFacebookFacebookXTwitterLINELineดูข่าวเพิ่มเติมWatchareeจีนประชุมสองสภาข่าวที่เกี่ยวข้องผู้ช่วย รมต.กต. ย้ำไม่มีประเทศใดแน่วแน่ที่จะรับชาวอุยกูร์ไปจริงจังไต้หวันเชื่อสหรัฐจะให้การสนับสนุนทางทหารต่อไปจีนประกาศแผนโครงการพลังงานหมุนเวียนเพื่อแก้ปัญหาโลกร้อนประเทศคู่ค้าตอบโต้กำแพงภาษีสหรัฐจีนจะส่งเสริมการบริโภคและการลงทุนในปีนี้",https://tna.mcot.net/world-1496699
VOA ส่งตรงจากสหรัฐ : สำรวจผลกระทบ สหรัฐตัดงบช่วยเหลือในต่างประเทศ,02/03/2568,สหรัฐ 2 มี.ค. –สำรวจผลกระทบของการตัดงบประมาณช่วยเหลือจากสหรัฐในต่างประเทศ ที่เริ่มส่งผลโดยตรงต่อการทำงานในองค์กรเอกชนหลายแห่งในไทย โดยเฉพาะโครงการด้านสื่อสารมวลชน ในกลุ่มสื่ออิสระและโครงการสร้างเสริมศักยภาพนักข่าว ติดตามจากคุณคมสัน ศรีธนวิบุญชัย ผู้สื่อข่าววีโอเอไทย .-สำนักข่าวไทยFacebookFacebookXTwitterLINELineดูข่าวเพิ่มเติมNujareeVOAตัดงบผลกระทบสหรัฐข่าวที่เกี่ยวข้องVOA ส่งตรงจากสหรัฐ : ผลพวงนโยบายจัดการคนเข้าเมืองผิดกฎหมายของสหรัฐVOA ส่งตรงจากสหรัฐ : ร้านอาหารไทยกับผลกระทบไฟไหม้VOA ส่งตรงจากสหรัฐ : รมว.ต่างประเทศสหรัฐ คัดค้านแผนส่งตัวชาวอุยกูร์ของไทยVOA ส่งตรงจากสหรัฐ : คำมั่นของผู้นำ และเสียงจาก ปชช. เมื่อ ‘ทรัมป์’ หวนคืนทำเนียบขาวVOA ส่งตรงจากสหรัฐ : ผู้นำเก่า เงื่อนไขใหม่ : จับสัญญาณเกาหลีเหนือก่อน ‘ทรัมป์’ เถลิงอำนาจ,https://tna.mcot.net/world-1496292
อินเดียช่วยชีวิต 47 คนงานจากหิมะถล่ม,01/03/2568,นิวเดลี 1 มี.ค. – อินเดียส่งทหารเข้าไปช่วยเหลือคนงานหลายสิบคนที่ติดค้างอยู่ใต้กองหิมะที่พังถล่มลงมาในพื้นที่ทางเหนือทหารจากกองทัพบกอินเดียปฏิบัติการกู้ภัยช่วยชีวิตคนงาน 47 คนออกมาจากใต้กองหิมะที่พังถล่มในรัฐอุตตราขัณฑ์ทางภาคเหนือและเร่งนำตัวผู้ที่ได้รับบาดเจ็บส่งไปรักษาที่โรงพยาบาลทหาร จนถึงขณะนี้ยังคงเดินหน้าให้การช่วยเหลือคนงานอีก 8 คนที่ยังติดอยู่ใต้กองหิมะเหตุการณ์หิมะถล่มเกิดขึ้นตั้งแต่เมื่อวานนี้หลังมีหิมะตกลงมาอย่างหนักใกล้กับทางหลวงในเขตชะโมลี ซึ่งอยู่ติดกับพรมแดนทิเบต และจุดที่เกิดเหตุอยู่ห่างจากวัดภัทรินาถ หรือ บาดรินาถ ซึ่งเป็นวัดสำคัญของชาวฮินดูเพียง 5 กิโลเมตรเท่านั้น โดยในแต่ละปีจะมีผู้แสวงบุญมาเยือนวัดแห่งนี้จำนวนหลายแสนคนรัฐอุตตราขัณฑ์อยู่ในเขตเทือกเขาหิมาลัยจึงมีความเสี่ยงสูงที่จะเกิดน้ำท่วมฉับพลันและดินถล่ม ซึ่งเป็นผลกระทบจากภาวะโลกร้อนทำให้มีเสียงเรียกร้องจากกลุ่มอนุรักษ์ธรรมชาติขอให้ทางการอินเดียทบทวนโครงการก่อสร้างด้านการผลิตไฟฟ้าและการพัฒนาอื่นๆ ในพื้นที่ดังกล่าวเพื่อลดผลกระทบที่จะตามมา.-816.-สำนักข่าวไทยFacebookFacebookXTwitterLINELineดูข่าวเพิ่มเติมSurat Boromsukช่วยเหลือทิเบตหิมะหิมาลัยข่าวที่เกี่ยวข้องฝน-หิมะช่วยไฟป่าญี่ปุ่นเริ่มมีหวังคลี่คลาย“ทรัมป์”  ระงับความช่วยเหลือทางทหารทั้งหมดที่ให้ยูเครนญี่ปุ่นยังเผชิญหิมะตกหนักต่อเนื่องแคนาดายืนยันรันเวย์แห้งในช่วงเครื่องบินลงจอดและหงายท้องเครื่องบินโดยสารพลิกหงายท้องขณะลงจอดที่แคนาดา,https://tna.mcot.net/world-1496046
องค์กรและหลายประเทศประณามการส่งกลับชาวอุยกูร์,28/02/2568,28 ก.พ. –การส่งตัวชาวอุยกูร์กลับไปยังจีน ก่อให้เกิดปฏิกริยาอย่างเข้มข้นจากทั้งรัฐบาล องค์กรระหว่างประเทศ และที่องค์กรชาวอุยกูร์ ซึ่งเตือนว่าเข้าข่ายผิดกฎหมายและเรียกร้องให้ติดตามดูแลชาวอุยกูร์ ติดตามจากรายงานของฝ่ายข่าวต่างประเทศ.-สำนักข่าวไทยFacebookFacebookXTwitterLINELineดูข่าวเพิ่มเติมChanakarn Rojnarakส่งกลับจีนส่งกลับชาวอุยกูร์อุยกูร์ข่าวที่เกี่ยวข้องกมธ.มั่นคงฯ ถกผลกระทบส่ง “อุยกูร์” กลับจีนนายกฯ บอกไม่ต้องห่วง ต่างประเทศได้ข้อมูลครบ ปมอุยกูร์เกาหลีใต้แสดงความเสียใจกรณีไทยส่งตัวชาวอุยกูร์กลับจีน“อนุทิน” ไม่ก้าวล่วง ไทยส่งอุยกูร์กลับจีนเตือนไทยเสี่ยงเกิดเหตุรุนแรง หลังส่ง “อุยกูร์” กลับจีน,https://tna.mcot.net/world-1495777
เหยื่อคอลเซ็นเตอร์ในเมียนมา ปัญหาที่รอวันปะทุฝั่งไทย,27/02/2568,"27 ก.พ. –ชะตาชีวิตชาวต่างชาติกว่า 7,000 คน ที่ได้รับความช่วยเหลือให้รอดพ้นเงื้อมมือของแก๊งอาชญากรรมข้ามชาติ ซึ่งลวงไปใช้แรงงานเยี่ยงทาสในเมียนมา ไม่จบง่ายๆ อย่างที่คิด พวกเขายังต้องเผชิญกับอะไรต่อและจะมีผลกระทบอะไรกับไทยซึ่งเป็นประเทศหน้าด่านในการประสานงาน ติดตามจากรายงานพิเศษของคุณวัชรินทร์ เศรษฐกุดั่น.-สำนักข่าวไทยFacebookFacebookXTwitterLINELineดูข่าวเพิ่มเติมChanakarn Rojnarakคอลเซ็นเตอร์อาชญากรรมข้ามชาติเมียนมาเหยื่อคอลเซ็นเตอร์ข่าวที่เกี่ยวข้อง“โรม” จี้ปราบแก๊งคอลเซ็นเตอร์เอาผิดให้ถึงระดับ จนท.รัฐเลขาฯ สมช. ยันมาตรการตัดไฟ-น้ำมันเมียนมา เห็นผลผู้นำเมียนมาไปพบ “ปูติน” ที่รัสเซียอย่าหลงเชื่อ! คำชักชวน “งานดี เงินเยอะ”ญี่ปุ่นเตรียมดำเนินคดีสมาชิกแก๊งสแกมเมอร์",https://tna.mcot.net/world-1495259
อิสราเอลจัดพิธีศพตัวประกัน 3 แม่ลูก,26/02/2568,รีชอน เล็ตซียอน 26 ก.พ.- อิสราเอลจัดพิธีศพให้กับหญิงชาวอิสราเอลและลูกเล็ก 2 คน ที่เสียชีวิตระหว่างที่ถูกฮามาสจับเป็นตัวประกัน โดยมีชาวอิสราเอลจำนวนมากรอส่งตามเส้นทางที่ขบวนศพเคลื่อนผ่านชาวอิสราเอลรวมตัวกันอย่างเนืองแน่นตามถนนในเมืองรีชอน เล็ตซียอน ทางตอนกลางของอิสราเอล เพื่อไว้อาลัยในระหว่างที่มีการเคลื่อนศพของนางชีรี บีบาส และบุตรชาย 2 คนที่ถูกจับเป็นตัวประกันขณะมีอายุ 10 เดือนและ 4 ปี พร้อมกับผู้เป็นพ่อ ในช่วงที่ฮามาสบุกโจมตีอิสราเอลเมื่อวันที่ 7 ตุลาคม 2566 ฮามาสได้ส่งมอบศพของเธอเมื่อวันที่ 21 กุมภาพันธ์ หลังจากก่อนหน้านี้ส่งมอบศพบุคคลอื่นมาพร้อมกับศพของบุตรชาย สถานีวิทยุของกองทัพอิสราเอลรายงานในวันถัดมาว่า เธอน่าจะถูกสังหารขณะอยู่กับลูก ๆส่วนนายยาร์เดน บีบาส ผู้เป็นสามี ถูกฮามาสแยกไปควบคุมตัวที่อื่น และได้รับการปล่อยตัวกลับมาเมื่อวันที่ 1 กุมภาพันธ์ ตามข้อตกลงหยุดยิงระยะแรกที่มีผลบังคับใช้ตั้งแต่วันที่ 19 มกราคม เขาได้ออกแถลงการณ์แสดงความขอบคุณผู้ให้กำลังใจอย่างท่วมท้น และในวันนี้ยังมีกำหนดการที่ฮามาสจะต้องส่งศพตัวประกันให้กับอิสราเอลอีก 4 ศพ แลกกับนักโทษปาเลสไตน์กว่า 600 คนตามข้อตกลงหยุดยิง.-812(814).-สำนักข่าวไทยFacebookFacebookXTwitterLINELineดูข่าวเพิ่มเติมWatchareeตัวประกันพิธีศพหยุดยิงอิสราเอลฮามาสข่าวที่เกี่ยวข้อง“ทรัมป์” ขู่ฮามาสให้ปล่อยตัวประกันทันทีอิสราเอลปิดกั้นความช่วยเหลือทั้งหมดไม่ให้เข้ากาซาฮามาสคืนร่างตัวประกันอิสราเอลฮามาสจะไม่เจรจาถ้าอิสราเอลไม่ปล่อยนักโทษเตรียมจัดพิธีศพในเลบานอนให้ผู้นำฮิซบอลเลาะห์,https://tna.mcot.net/world-1494627
ไต้หวันกักเรือเชื่อมโยงจีนต้องสงสัยทำลายสายเคเบิลใต้ทะเล,25/02/2568,ไทเป 25 ก.พ.- หน่วยยามฝั่งของไต้หวันแจ้งว่า ได้กักเรือที่เชื่อมโยงกับจีนในวันนี้ หลังจากสายเคเบิลใต้ทะเลที่อยู่ไม่ไกลจากเรือลำนี้เกิดความเสียหาย เชื่อมต่อไม่ได้ โดยเป็นสายเคเบิลไปยังหมู่เกาะเผิงหูของไต้หวันที่ตั้งอยู่ในช่องแคบไต้หวันหน่วยยามฝั่งไต้หวันออกแถลงการณ์ว่า ได้ส่งเรือ 3 ลำไปกักเรือหงไท่ 58 (Hong Tai 58) ที่จดทะเบียนในโตโก ซึ่งเป็นประเทศในแอฟริกาตะวันตก แต่มีลูกเรือเป็นชาวจีน หลังจากเรือลำนี้ทอดสมอใกล้สายเคเบิลใต้ทะเลนอกชายฝั่งตะวันตกเฉียงใต้ของไต้หวันในช่วงเวลาที่สายเคเบิลใช้การไม่ได้ แถลงการณ์ระบุว่า เรือลำนี้มีความเชื่อมโยงกับจีนและจดทะเบียนแบบธงสะดวก (flag of convenience) คือ จดทะเบียนในประเทศอื่นที่ไม่ใช่ประเทศเจ้าของเรือ แต่ลูกเรือทั้ง 8 คน มีสัญชาติจีน จึงไม่อาจตัดความเป็นได้ว่า เป็นการคุกคามที่ไม่ใช่การประกาศสงครามโดยตรง (grey-zone harassment) ของจีน และจำเป็นต้องตรวจสอบเพิ่มเติมเครดิตภาพ : Taiwan Coast Guardไต้หวันตื่นตัวในเรื่องนี้ หลังจากสงสัยว่า เรือที่เชื่อมโยงกับจีนลำหนึ่งทำลายสายเคเบิลใต้ทะเลเสียหายเมื่อต้นปี กองทัพและหน่วยงานอื่น ๆ ของไต้หวันได้เพิ่มการเฝ้าระวังระบบการเชื่อมต่อโทรคมนาคมใต้ทะเล เพราะมีความสำคัญอย่างยิ่งในการเชื่อมต่อไต้หวันกับประชาคมโลกกระทรวงดิจิทัลของไต้หวันแจ้งว่า การสื่อสารระหว่างเกาะไต้หวันกับหมู่เกาะนอกชายฝั่งอื่น ๆ รวมถึงหมู่เกาะเผิงหูไม่ได้รับผลกระทบ เนื่องจากมีการย้ายบริการเชื่อมต่อไปใช้สายเคเบิลอื่น ข้อมูลของกระทรวงระบุว่า ตั้งแต่ต้นปีจนถึงขณะนี้มีรายงานเหตุสายเคเบิลใต้ทะเลใช้การไม่ได้แล้ว 5 ครั้ง เพิ่มขึ้นมากเมื่อเทียบกับปี 2566 และ 2567 ทั้งปีที่มีรายงานปีละ 3 ครั้ง.-814.-สำนักข่าวไทยFacebookFacebookXTwitterLINELineดูข่าวเพิ่มเติมWatchareeจีนสายเคเบิลหน่วยยามฝั่งเรือใต้ทะเลไต้หวันข่าวที่เกี่ยวข้องผู้ช่วย รมต.กต. ย้ำไม่มีประเทศใดแน่วแน่ที่จะรับชาวอุยกูร์ไปจริงจังไต้หวันเชื่อสหรัฐจะให้การสนับสนุนทางทหารต่อไปจีนประกาศแผนโครงการพลังงานหมุนเวียนเพื่อแก้ปัญหาโลกร้อนประเทศคู่ค้าตอบโต้กำแพงภาษีสหรัฐจีนจะส่งเสริมการบริโภคและการลงทุนในปีนี้,https://tna.mcot.net/world-1493950
